Lighting,Time,CheckScene,Option,Pos X,Pos Z
D65,20,0,PastillaBlanca,9,81,0
D65,40,0,PastillaBlanca,-6,6,0
D65,60,0,PastillaBlanca,9,81,0
D65,80,0,PastillaBlanca,-11,92,0
D65,100,0,PastillaBlanca,-5,87,0
D65,120,0,PastillaBlanca,-6,6,0
D50,20,0,Pastilla4,8,84,0
D50,40,0,Pastilla4,-0,88,0
D50,60,0,PastillaBlanca,2,34,0
D50,80,0,Pastilla4,9,81,0
D50,100,0,Pastilla4,-11,85,0
D50,120,0,Pastilla4,4,63,0
2Peaks,20,0,PastillaBlanca,-5,87,0
2Peaks,40,0,Pastilla4,-11,85,0
2Peaks,60,0,PastillaBlanca,-5,87,0
2Peaks,80,0,Pastilla3,-6,6,0
2Peaks,100,0,Pastilla3,-11,85,0
2Peaks,120,0,PastillaBlanca,9,81,0
A,20,0,Pastilla5,-6,6,0
A,40,0,Pastilla6,-6,6,0
A,60,0,PastillaBlanca,-5,87,0
A,80,0,Pastilla6,-5,87,0
A,100,0,Pastilla6,-6,6,0
A,120,0,Pastilla6,-5,87,0
